Week of,Thousand_Barrels
2/13/2009,19690
2/6/2009,19662
1/30/2009,20306
1/23/2009,20151
1/16/2009,19097
1/9/2009,18640
1/2/2009,19836
12/26/2008,20211
12/19/2008,20191
12/12/2008,20192
12/5/2008,19149
11/28/2008,19606
11/21/2008,19482
11/14/2008,18972
11/7/2008,19004
10/31/2008,19216
10/24/2008,19113
10/17/2008,19193
10/10/2008,18865
10/3/2008,18341
9/26/2008,18465
9/19/2008,18784
9/12/2008,19049
9/5/2008,19784
8/29/2008,20555
8/22/2008,20133
8/15/2008,20106
8/8/2008,20372
8/1/2008,20215
7/25/2008,20204
7/18/2008,19903
7/11/2008,20198
7/4/2008,20320
6/27/2008,20590
6/20/2008,20079
6/13/2008,20456
6/6/2008,20243
5/30/2008,20153
5/23/2008,20807
5/16/2008,20347
5/9/2008,20274
5/2/2008,20496
4/25/2008,20241
4/18/2008,21116
4/11/2008,20591
4/4/2008,20769
3/28/2008,20402
3/21/2008,20485
3/14/2008,20164
3/7/2008,20081
2/29/2008,20383
2/22/2008,20407
2/15/2008,21311
2/8/2008,20118
2/1/2008,20490
1/25/2008,20785
1/18/2008,20749
1/11/2008,20469
1/4/2008,21288
12/28/2007,21349
12/21/2007,21535
12/14/2007,21050
12/7/2007,20977
11/30/2007,20795
11/23/2007,20863
11/16/2007,21350
11/9/2007,20627
11/2/2007,20661
10/26/2007,20412
10/19/2007,20660
10/12/2007,21024
10/5/2007,20792
9/28/2007,20640
9/21/2007,20184
9/14/2007,20559
9/7/2007,20449
8/31/2007,21422
8/24/2007,21260
8/17/2007,21305
8/10/2007,21139
8/3/2007,21090
7/27/2007,20900
7/20/2007,21006
7/13/2007,21008
7/6/2007,21069
6/29/2007,20616
6/22/2007,21087
6/15/2007,20517
6/8/2007,21062
6/1/2007,20972
5/25/2007,21235
5/18/2007,20786
5/11/2007,20831
5/4/2007,20795
4/27/2007,20796
4/20/2007,21076
4/13/2007,20825
4/6/2007,20823
3/30/2007,20747
3/23/2007,20807
3/16/2007,21344
3/9/2007,21003
3/2/2007,21273
2/23/2007,21698
2/16/2007,22037
2/9/2007,21815
2/2/2007,21637
1/26/2007,20869
1/19/2007,20369
1/12/2007,20201
1/5/2007,19562
12/29/2006,20368
12/22/2006,20781
12/15/2006,20918
12/8/2006,21349
12/1/2006,21116
11/24/2006,21158
11/17/2006,20331
11/10/2006,21317
11/3/2006,21076
10/27/2006,21484
10/20/2006,21502
10/13/2006,21441
10/6/2006,20938
9/29/2006,20228
9/22/2006,20705
9/15/2006,20760
9/8/2006,20953
9/1/2006,21173
8/25/2006,21294
8/18/2006,21454
8/11/2006,21032
8/4/2006,21283
7/28/2006,21113
7/21/2006,20909
7/14/2006,20445
7/7/2006,20563
6/30/2006,20881
6/23/2006,20877
6/16/2006,20971
6/9/2006,20701
6/2/2006,20603
5/26/2006,21272
5/19/2006,20976
5/12/2006,20953
5/5/2006,21200
4/28/2006,20111
4/21/2006,20734
4/14/2006,20415
4/7/2006,20738
3/31/2006,20532
3/24/2006,20604
3/17/2006,20621
3/10/2006,20897
3/3/2006,19880
2/24/2006,20889
2/17/2006,21088
2/10/2006,21020
2/3/2006,19803
1/27/2006,20220
1/20/2006,19834
1/13/2006,20805
1/6/2006,20772
12/30/2005,20801
12/23/2005,21878
12/16/2005,22156
12/9/2005,21642
12/2/2005,20535
11/25/2005,20374
11/18/2005,20655
11/11/2005,20705
11/4/2005,20174
10/28/2005,20435
10/21/2005,20837
10/14/2005,20404
10/7/2005,20246
9/30/2005,19755
9/23/2005,19672
9/16/2005,20381
9/9/2005,19952
9/2/2005,20871
8/26/2005,21592
8/19/2005,21499
8/12/2005,21352
8/5/2005,21575
7/29/2005,20854
7/22/2005,20972
7/15/2005,20404
7/8/2005,20656
7/1/2005,21497
6/24/2005,20169
6/17/2005,20471
6/10/2005,20998
6/3/2005,20592
5/27/2005,20433
5/20/2005,20584
5/13/2005,20273
5/6/2005,20385
4/29/2005,20402
4/22/2005,20380
4/15/2005,20559
4/8/2005,20195
4/1/2005,20213
3/25/2005,20325
3/18/2005,20851
3/11/2005,21263
3/4/2005,20291
2/25/2005,20730
2/18/2005,20597
2/11/2005,21007
2/4/2005,21064
1/28/2005,20957
1/21/2005,21225
1/14/2005,20210
1/7/2005,20466
12/31/2004,20847
12/24/2004,21449
12/17/2004,20782
12/10/2004,20928
12/3/2004,20526
11/26/2004,20118
11/19/2004,20404
11/12/2004,21403
11/5/2004,20475
10/29/2004,20216
10/22/2004,20308
10/15/2004,20601
10/8/2004,20438
10/1/2004,20299
9/24/2004,19888
9/17/2004,20209
9/10/2004,20350
9/3/2004,20926
8/27/2004,20699
8/20/2004,20863
8/13/2004,20477
8/6/2004,20767
7/30/2004,20689
7/23/2004,20682
7/16/2004,19678
7/9/2004,20316
7/2/2004,20222
6/25/2004,20700
6/18/2004,20598
6/11/2004,20322
6/4/2004,20618
5/28/2004,20240
5/21/2004,20440
5/14/2004,20606
5/7/2004,20706
4/30/2004,18932
4/23/2004,19553
4/16/2004,20051
4/9/2004,20639
4/2/2004,20580
3/26/2004,19570
3/19/2004,19574
3/12/2004,19501
3/5/2004,19662
2/27/2004,19503
2/20/2004,20941
2/13/2004,21071
2/6/2004,20326
1/30/2004,20754
1/23/2004,20810
1/16/2004,20011
1/9/2004,19303
1/2/2004,19320
12/26/2003,20109
12/19/2003,20345
12/12/2003,20530
12/5/2003,19714
11/28/2003,19768
11/21/2003,20068
11/14/2003,20124
11/7/2003,20203
10/31/2003,20555
10/24/2003,19681
10/17/2003,19192
10/10/2003,20164
10/3/2003,19971
9/26/2003,18949
9/19/2003,19083
9/12/2003,19265
9/5/2003,18892
8/29/2003,20291
8/22/2003,20590
8/15/2003,20573
8/8/2003,20737
8/1/2003,20003
7/25/2003,20292
7/18/2003,20040
7/11/2003,19181
7/4/2003,20226
6/27/2003,20727
6/20/2003,20027
